";""idencuesta"";""ola"";""version"";""muestra"";""sospechoso"";""r13_nredes"";""r13_sexo_01"";""r13_edad_01"";""r13_relacion_01"";""r13_tiempo_01"";""r13_barrio_01"";""r13_educ_01"";""r13_relig_01"";""r13_ideol_01"";""r13_contacto_01"";""r13_sexo_02"";""r13_edad_02"";""r13_relacion_02"";""r13_tiempo_02"";""r13_barrio_02"";""r13_educ_02"";""r13_relig_02"";""r13_ideol_02"";""r13_contacto_02"";""r13_sexo_03"";""r13_edad_03"";""r13_relacion_03"";""r13_tiempo_03"";""r13_barrio_03"";""r13_educ_03"";""r13_relig_03"";""r13_ideol_03"";""r13_contacto_03"";""r13_sexo_04"";""r13_edad_04"";""r13_relacion_04"";""r13_tiempo_04"";""r13_barrio_04"";""r13_educ_04"";""r13_relig_04"";""r13_ideol_04"";""r13_contacto_04"";""r13_sexo_05"";""r13_edad_05"";""r13_relacion_05"";""r13_tiempo_05"";""r13_barrio_05"";""r13_educ_05"";""r13_relig_05"";""r13_ideol_05"";""r13_contacto_05"";""r14"";""r15"";""r05_01"";""r05_02"";""r06"";""r07"";""r08"";""r09"";""r10"";""r11"";""r16"";""r17"";""r12_01"";""r12_02"";""r12_03"";""r12_04"";""r12_05"";""r12_06"";""r12_07"";""t01"";""t02_01"";""t02_02"";""t02_03"";""t02_04"";""t03_01"";""t03_02"";""t03_03"";""t03_04"";""t04_01"";""t04_02"";""t04_03"";""t04_04"";""t04_05"";""t04_06"";""t04_07"";""t05"";""t06_01"";""t06_02"";""t06_03"";""t06_04"";""t06_05"";""t06_06"";""t06_07"";""t06_08"";""t07_01"";""t07_02"";""t08"";""t09_01"";""t09_02"";""t09_03"";""t10"";""t11_01"";""t11_02"";""t11_03"";""t11_04"";""t12"";""t13_01"";""t13_02"";""t13_03"";""c01"";""c02"";""c03"";""c04"";""c05_01"";""c05_02"";""c05_03"";""c05_04"";""c05_05"";""c05_06"";""c05_07"";""c05_08"";""c05_09"";""c07_01"";""c07_02"";""c07_03"";""c07_04"";""c07_05"";""c07_06"";""c07_07"";""c07_08"";""c08_01"";""c08_02"";""c08_03"";""c08_04"";""c10_01"";""c10_02"";""c10_03"";""c13"";""c14_01"";""c14_02"";""c15"";""c16"";""c16_otro"";""c17"";""c17_otro"";""c36"";""c18_01"";""c18_12"";""c18_02"";""c18_03"";""c18_04"";""c18_05"";""c18_06"";""c18_07"";""c18_08"";""c18_09"";""c18_10"";""c18_11"";""c20"";""c20_otro"";""c21_01"";""c21_02"";""c21_03"";""c21_04"";""c21_05"";""c21_06"";""c21_07"";""c21_08"";""c21_09"";""c21_10"";""c21_11"";""c22"";""c23"";""c24"";""c25"";""c26"";""c27"";""c28"";""c29"";""c30"";""c32_01"";""c32_02"";""d01_01"";""d01_02"";""d01_03"";""d02_01"";""d02_02"";""d02_03"";""d03_01"";""d03_02"";""d04_01"";""d04_02"";""d05_01"";""d05_02"";""d05_03"";""d05_04"";""d06"";""d20"";""d21"";""d22"";""d23_01"";""d23_02"";""d23_03"";""d23_04"";""d23_05"";""f05_01"";""f05_02"";""f05_03"";""f05_04"";""f05_05"";""f05_06"";""f05_07"";""f05_08"";""f06_01"";""f06_02"";""s01"";""s02"";""s03"";""s11_01"";""s11_02"";""s11_03"";""s11_04"";""s11_05"";""s11_06"";""s11_07"";""s11_08"";""s11_09"";""s15"";""s16"";""s17"";""s18"";""s19_01"";""s19_01_fecha"";""s19_02"";""s19_02_fecha"";""s19_03"";""s19_03_fecha"";""s19_04"";""s19_04_fecha"";""s19_05"";""s19_05_fecha"";""s20"";""s21"";""s22_01"";""s22_02"";""s22_03"";""s22_04"";""s22_05"";""s22_06"";""s22_07"";""s22_08"";""s22_09"";""s22_10"";""s23_01"";""s23_02"";""s23_03"";""s23_04"";""s23_05"";""s24_01"";""s24_02"";""s24_03"";""s25_01"";""s25_02"";""s25_03"";""s25_04"";""s26_01"";""s26_02"";""s26_03"";""s26_04"";""s26_05"";""s26_06"";""s27"";""s28"";""s29"";""m0_sexo"";""m0_edad"";""m01"";""m02"";""m13"";""m14"";""m15"";""m16"";""m29"";""m30"";""m38"";""m38_otro"";""m39"";""m41"";""m46"";""m46_nhogar"";""m46_ocup_01"";""m46_educ_01"";""m46_ocup_02"";""m46_educ_02"";""m46_ocup_03"";""m46_educ_03"";""m46_ocup_04"";""m46_educ_04"";""m46_ocup_05"";""m46_educ_05"";""m46_ocup_06"";""m46_educ_06"";""m46_ocup_07"";""m46_educ_07"";""m46_ocup_08"";""m46_educ_08"";""m46_ocup_09"";""m46_educ_09"";""m46_ocup_10"";""m46_educ_10"";""m47_comuna"";""m47_pais"";""m48"";""m48_edad"";""m49"";""m50"";""m51_comuna"";""m51_pais"";""m52"";""m53"";""m53_otro"";""comuna"";""region"";""ponderador01"";""ponderador02"";""estrato"";""segmento"";""idencuestador"""
"456;5101452;2;201710;1;0;2;1;35;4;3;1;3;1;-999;1;1;40;4;3;1;2;1;-999;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;1;1;1;NA;NA;1;1;1;1;1;4;3;2;3;3;3;3;1;3;3;4;3;3;4;4;3;4;5;4;4;3;4;5;3;4;4;3;5;4;4;3;4;5;4;4;1;1;1;4;1;1;1;1;2;NA;NA;NA;3;2;2;2;2;1;2;1;1;4;2;3;3;3;2;1;2;1;1;3;2;1;1;1;1;4;4;4;4;3;3;11;-888;"""";5;"""";2;3;1;2;3;2;1;3;1;4;2;3;2;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;3;3;3;2;4;4;6;8;7;3;4;1;-999;-999;-999;-999;5;3;4;4;-888;3;4;3;6;5;2;8;4;4;1;2;4;3;5;3;3;4;4;4;4;3;1;1;1;1;1;1;1;1;1;-999;-999;6;3;2;NA;2;NA;2;NA;2;NA;2;NA;2;0;4;4;3;3;2;4;3;3;2;3;1;1;1;1;1;5;4;4;1;1;1;1;2;3;2;1;1;1;0;0;1;1;39;5;1;-999;-999;-999;-999;-999;-999;1;"""";6;1;1;1;1;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5101;NA;2;NA;3;""salesiano"";5101;NA;2;10;"""";5101;5;0.0088459188118577;0.011166431941092;5;611497;55"
"457;5101453;2;201710;1;0;2;2;36;4;3;1;3;3;-999;1;1;28;4;3;2;4;1;5;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;1;1;NA;NA;1;1;2;2;2;3;4;3;4;4;3;4;3;4;3;5;4;4;4;3;4;4;3;4;4;3;4;3;4;4;5;3;4;4;3;4;3;5;4;4;1;2;1;4;1;2;1;1;1;4;5;4;2;2;2;1;4;3;5;4;4;5;3;4;4;2;3;2;2;3;2;3;3;1;1;1;1;4;3;4;2;2;1;11;15;"""";5;"""";-888;5;2;3;3;2;5;3;2;3;2;5;3;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;2;3;1;5;5;4;6;8;3;3;2;5e+05;250000;5e+05;2.5e+08;3;4;5;4;2;-888;5;4;5;4;5;1;1;1;2;3;3;2;-888;4;2;4;4;5;5;5;2;1;2;1;3;1;2;1;2;-999;4;3;8;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;4;5;4;3;2;-888;3;4;3;5;1;1;1;1;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;2;29;7;1;-999;13;-999;4;-999;-999;1;"""";7;1;1;1;1;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5101;NA;2;NA;3;""maritimo"";5101;NA;2;10;"""";5101;5;0.0088459188118577;0.00736232427880168;5;611497;55"
"458;5101461;2;201710;1;0;1;1;39;3;4;2;5;1;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;1;1;1;NA;NA;1;2;1;2;3;1;2;1;2;3;2;2;2;4;4;3;4;4;4;2;4;4;4;3;5;3;3;3;3;4;4;5;3;4;4;3;4;5;5;5;1;1;1;5;2;1;1;2;1;4;5;1;1;1;2;2;1;2;1;1;3;3;2;4;3;1;2;2;3;1;2;3;2;1;1;1;4;1;1;5;3;1;1;11;15;"""";5;"""";10;5;3;2;3;3;4;4;4;3;4;5;3;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;2;3;2;1;5;5;6;7;7;3;2;1;8e+05;320000;350000;3.2e+08;1;5;2;4;1;-888;-888;-888;7;4;6;5;7;5;4;1;2;2;1;1;1;2;4;3;4;4;1;1;1;1;1;1;1;1;1;-888;4;3;4;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;5;4;5;5;5;5;5;4;5;5;1;1;5;1;1;5;1;1;1;1;1;1;1;4;5;1;1;1;2;2;4;2;36;8;1;-999;-999;-888;5;-999;-999;1;"""";6;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5101;NA;1;-999;3;""comer ial"";5101;NA;2;10;"""";5101;5;0.0088459188118577;0.00736232427880168;5;611697;55"
"459;5101462;2;201710;1;0;2;1;50;4;5;1;4;1;-999;2;2;35;3;4;1;5;1;-999;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;1;1;1;NA;NA;2;2;3;5;2;3;4;3;2;4;3;4;4;4;3;4;3;3;3;3;3;4;3;3;4;5;4;4;3;4;4;3;3;5;3;4;3;4;2;2;4;3;3;3;3;2;5;4;2;NA;NA;NA;2;2;2;2;2;3;3;1;2;1;2;3;3;2;3;1;2;2;3;1;2;4;2;3;3;3;2;3;3;3;3;6;15;"""";5;"""";1;4;3;3;4;3;2;2;3;3;2;4;3;2;"""";4;3;2;3;1;3;2;3;4;4;3;3;2;3;3;3;3;3;3;3;4;4;5;7;9;4;3;1;-888;-888;-888;-888;1;4;3;5;4;4;4;4;7;2;-888;9;2;2;4;2;1;3;2;1;3;5;3;4;4;3;5;4;3;4;3;5;2;4;2;-888;3;10;2;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;4;4;4;4;3;2;4;4;5;5;2;2;1;2;3;4;3;4;2;2;3;2;4;5;3;4;4;4;2;2;1;2;49;7;1;-999;-999;-999;-999;-999;-999;1;"""";7;1;1;1;1;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5101;NA;2;NA;3;""cuarauma"";5101;NA;1;-888;"""";5101;5;0.0088459188118577;0.00736232427880168;5;611697;55"
"460;5101463;2;201710;1;0;1;2;32;3;4;1;3;1;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;1;1;1;NA;NA;2;2;2;2;2;1;3;3;2;3;4;5;3;4;3;4;3;4;3;5;4;5;3;4;3;5;4;4;3;4;3;5;4;4;4;4;4;4;4;2;3;2;4;3;3;3;1;2;2;NA;NA;NA;2;2;1;2;1;1;2;3;2;4;3;2;3;2;1;2;3;2;1;2;3;3;2;3;2;4;3;4;3;2;2;10;15;"""";5;"""";1;3;3;1;3;3;5;3;2;3;3;2;3;6;"""";4;2;3;2;4;3;4;3;4;3;3;2;2;1;2;2;1;2;2;2;5;5;4;5;8;3;3;4;1e+06;350000;5e+05;3.5e+08;4;1;3;2;3;1;2;3;6;5;2;1;1;1;3;1;4;3;2;1;2;5;4;2;2;3;1;1;1;1;1;1;2;2;2;3;2;15;2;2;NA;2;NA;1;2016;2;NA;2;NA;2;18;4;5;5;5;4;4;5;4;5;5;5;4;5;5;5;3;4;3;1;2;3;2;3;2;4;3;4;4;2;1;1;2;32;7;1;-999;-999;-999;1;-999;-999;1;"""";6;1;1;1;1;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5101;NA;2;NA;2;""naciones unidas"";5101;NA;2;10;"""";5101;5;0.0088459188118577;0.00736232427880168;5;611697;55"
"461;5101464;2;201710;1;0;2;1;32;4;4;1;3;3;6;1;1;29;4;2;1;3;1;-999;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;1;1;1;NA;NA;1;1;1;1;1;1;1;2;1;1;2;2;3;3;3;2;3;2;3;3;3;4;3;5;4;4;3;4;3;3;2;3;2;3;4;2;3;3;2;4;2;1;3;3;2;1;1;1;1;3;1;3;1;1;1;1;1;1;3;1;1;1;1;1;1;2;1;3;1;-888;2;3;2;1;1;1;1;3;2;3;1;1;2;11;15;"""";5;"""";10;4;1;3;3;2;3;2;2;2;3;3;2;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;4;3;4;5;5;3;2;5;950000;3e+05;6e+05;3e+08;2;5;2;5;2;-888;-888;-888;4;7;1;3;3;3;4;3;2;4;3;5;3;5;5;5;5;4;1;1;1;1;3;1;1;1;3;0;4;6;3;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;5;4;2;3;3;5;3;5;3;4;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;0;0;1;1;36;7;1;-999;-999;-999;-999;-999;-999;1;"""";7;1;1;3;7;5;4;2;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13503;NA;1;-999;3;""artemisa"";13503;NA;2;10;"""";5101;5;0.00442295940592885;0.00558321597054601;5;611697;55"
"462;5101465;2;201710;1;0;2;1;48;4;4;1;3;3;-999;1;1;58;4;4;1;3;2;5;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;1;1;3;3;3;3;3;3;3;2;3;3;4;3;2;4;3;4;4;5;4;4;5;4;4;5;4;5;4;3;4;4;3;3;4;3;5;4;4;3;4;4;4;4;4;2;1;1;4;1;2;1;1;1;4;2;1;3;1;1;2;1;2;3;2;1;2;3;4;2;3;2;3;3;2;3;3;2;4;3;4;2;4;3;3;3;3;2;10;3;"""";5;"""";2;3;4;1;5;3;4;3;2;5;4;5;2;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;2;3;3;3;4;5;5;3;7;3;4;1;2e+06;360000;1500000;3.6e+08;4;4;5;4;2;5;4;3;3;6;4;6;8;5;2;4;2;5;3;2;3;3;4;3;3;3;3;1;1;2;3;2;1;2;1;-999;2;8;1;1;2000;1;2015;2;NA;2;NA;2;NA;5;NA;5;3;4;4;3;2;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;2;1;0;0;1;1;67;5;5;NA;NA;NA;NA;-999;-999;1;"""";2;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5101;NA;2;NA;3;""mexico"";5101;NA;1;10;"""";5101;5;0.0088459188118577;0.011166431941092;5;611697;55"
"463;5101472;2;201710;1;0;1;2;33;4;3;1;3;1;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;1;1;2;2;2;2;1;2;1;1;3;2;1;3;2;2;1;2;3;4;3;3;4;3;3;3;4;3;5;4;2;2;1;3;5;5;5;4;3;5;4;4;5;5;4;1;1;1;4;1;1;1;1;1;5;11;15;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;3;1;2;1;1;1;3;3;2;2;1;1;1;11;15;"""";5;"""";10;5;3;3;3;2;5;3;1;4;3;3;1;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;2;3;1;4;4;6;5;7;3;2;4;-999;-999;-999;-999;4;4;5;3;2;5;5;3;4;5;2;6;8;5;2;4;2;4;2;-888;3;4;3;4;4;4;1;1;1;3;1;1;1;1;1;-999;4;1;8;1;2016;2;NA;2;NA;2;NA;2;NA;5;NA;5;5;1;4;2;4;3;2;4;2;1;1;3;1;1;3;4;3;1;1;3;2;3;2;3;1;1;1;0;0;1;2;37;5;5;NA;NA;NA;NA;-999;-999;2;"""";3;2;1;3;1;5;4;4;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5101;NA;1;27;3;""baron"";5101;NA;2;10;"""";5101;5;0.0147431986406446;0.0122705409303308;5;922344;55"
"464;5101473;2;201710;1;0;1;2;50;3;4;2;3;1;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;NA;NA;1;1;2;2;2;2;3;1;4;2;3;3;3;4;2;3;3;2;1;2;3;2;3;3;2;1;3;3;3;4;4;2;3;3;4;4;3;4;4;2;1;1;1;4;1;1;1;1;1;1;4;1;1;2;1;2;1;1;2;1;2;3;2;2;3;2;2;3;2;1;2;2;3;1;1;1;1;1;2;1;1;1;1;12;15;"""";5;"""";8;5;3;3;4;2;3;2;2;3;2;5;4;7;"""";4;3;3;4;4;2;3;3;3;4;3;1;1;1;1;2;1;1;1;1;5;4;5;6;8;5;3;3;1e+06;3e+05;450000;3e+08;3;5;1;5;2;-888;2;2;7;5;5;4;6;1;4;2;1;4;3;5;3;4;4;1;5;2;3;2;2;4;3;2;3;4;3;-999;2;20;2;1;2016;2;NA;2;NA;2;NA;2;NA;-888;NA;4;4;5;4;4;5;2;4;4;5;5;3;4;2;4;4;3;2;3;2;4;3;1;3;1;1;1;1;0;0;-999;2;56;5;5;NA;NA;NA;NA;-999;-999;1;"""";5;1;1;1;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5101;NA;1;18;2;""liceo 1"";5101;NA;-999;10;"""";5101;5;0.00737159932032228;0.00613527046516538;5;922344;55"
"465;5101474;2;201710;1;0;2;1;38;4;3;2;3;5;-999;2;2;42;4;4;1;-999;1;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;1;1;1;NA;NA;1;1;1;1;1;4;4;3;4;4;3;4;4;5;5;5;4;4;5;4;5;4;5;3;4;4;5;4;4;4;3;5;4;3;4;3;4;5;5;4;2;3;1;3;2;3;1;2;2;NA;NA;NA;1;2;2;3;1;1;1;1;1;1;1;1;4;2;1;3;3;2;2;1;3;1;1;1;4;2;1;1;1;1;1;11;15;"""";5;"""";9;3;5;3;2;3;2;3;2;1;2;1;3;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;1;1;-999;1;3;3;4;6;7;1;2;3;960000;320000;9e+05;3.2e+08;3;5;2;5;-888;-888;-888;-888;6;3;5;3;6;4;2;5;1;3;2;4;2;5;5;4;5;3;5;5;3;4;4;3;3;4;4;-999;2;6;2;1;2017;2;NA;2;NA;2;NA;2;NA;5;NA;5;5;3;4;1;4;5;5;3;4;1;1;3;1;1;5;5;5;1;1;2;1;1;3;1;2;1;1;0;0;5;2;45;9;1;-999;-999;-999;-999;-999;-999;1;"""";3;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6101;NA;1;18;2;""lo miranda"";6101;NA;2;10;"""";5101;5;0.0147431986406446;0.0122705409303308;5;922344;55"
"466;5101481;2;201710;1;0;5;2;58;3;5;2;2;1;6;1;1;62;3;5;2;2;1;6;1;1;28;4;4;1;4;3;6;1;1;40;4;4;2;4;1;6;2;1;37;4;4;2;4;1;6;1;2;3;1;1;1;NA;NA;3;2;3;3;1;3;3;4;2;4;4;4;5;3;3;2;3;3;4;4;4;3;3;3;4;3;3;3;3;4;4;2;2;4;4;3;1;4;4;3;1;1;1;4;2;1;1;1;1;6;2;1;1;2;3;3;2;1;4;1;3;3;1;2;3;1;1;3;1;2;2;1;1;1;1;1;1;4;4;4;1;1;1;12;15;"""";5;"""";6;1;1;4;4;3;4;2;2;4;2;2;4;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;3;3;1;1;4;4;5;3;7;3;2;2;6e+07;250000;2e+07;350000;1;5;5;5;3;4;4;2;5;3;6;6;6;3;1;1;3;1;1;2;1;4;4;4;4;4;1;1;2;2;1;2;1;1;1;1;7;1;9;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;4;4;1;1;3;4;1;4;4;4;1;1;1;2;4;1;1;1;1;1;1;1;1;4;5;2;3;1;1;0;1;1;34;7;1;750000;NA;1e+06;4;750000;NA;1;"""";7;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5701;NA;2;NA;3;""liceo industrial richard cuevas"";5701;NA;1;1;"""";5101;5;0.254465699195862;0.32121866941452;2;983926;102"
"467;5101482;2;201710;1;0;5;2;35;2;5;1;2;1;6;2;1;25;2;5;1;2;1;6;1;2;47;3;5;1;1;1;6;2;2;73;3;5;2;1;2;6;2;2;53;4;5;2;2;1;6;2;1;2;1;1;1;NA;NA;5;2;4;4;1;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;4;3;4;4;4;4;4;3;3;3;4;4;1;1;1;3;2;NA;NA;NA;2;2;1;3;1;1;2;3;1;1;2;3;2;2;1;3;1;2;2;2;1;1;1;1;1;4;4;4;1;1;1;12;15;"""";5;"""";2;4;4;4;4;4;4;4;4;4;3;4;4;6;"""";4;4;4;4;4;3;4;4;4;3;3;1;1;1;4;4;3;4;3;1;4;4;5;8;8;2;3;2;1e+06;350000;5e+05;7e+05;2;4;4;4;2;2;2;5;1;1;4;4;4;3;1;1;1;1;1;1;1;5;5;4;2;2;2;2;1;2;2;1;1;2;2;2;1;60;3;1;2015;2;NA;1;2016;2;NA;2;NA;4;60;4;4;1;4;4;3;4;4;4;4;1;1;1;1;1;1;1;1;1;1;2;1;5;5;1;1;1;1;0;2;1;2;55;4;7;NA;NA;NA;NA;2e+05;NA;1;"""";4;1;1;1;1;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5101;NA;1;18;3;""escuela arabe siria"";5101;NA;2;10;"""";5101;5;0.508931398391724;0.423575907945633;2;983926;102"
"468;5101484;2;201710;1;0;5;2;29;3;5;2;2;1;6;2;2;37;3;5;2;3;1;6;2;2;25;3;5;2;3;1;6;2;2;22;2;5;1;4;1;6;1;2;67;3;5;2;1;1;6;2;1;3;1;1;1;NA;NA;3;4;4;3;1;3;3;3;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;2;2;2;3;1;1;1;1;1;2;7;9;2;3;2;3;2;3;3;3;3;3;3;3;3;2;2;3;3;2;2;2;2;1;1;1;3;3;4;4;1;3;4;12;15;"""";5;"""";2;2;2;4;4;4;3;4;4;4;3;3;4;3;"""";4;4;4;4;4;1;4;3;3;3;3;1;1;1;1;3;2;3;-888;1;5;5;4;4;6;2;2;2;2e+07;4e+05;1e+07;7e+05;3;4;4;4;3;3;3;5;1;1;4;4;4;2;1;1;2;1;3;1;1;4;4;3;3;3;1;1;1;1;1;1;1;1;1;3;1;30;1;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;3;4;1;1;3;4;3;4;1;4;2;1;4;4;1;4;2;1;1;1;1;1;1;3;3;1;1;1;12;0;1;2;42;2;7;NA;NA;NA;NA;210000;NA;1;"""";6;1;1;3;4;7;4;4;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5101;NA;1;19;3;""escuela japon"";5101;NA;2;10;"""";5101;5;0.508931398391724;0.423575907945633;2;983926;102"
"469;5101485;2;201710;1;0;5;1;52;3;5;2;5;5;6;2;2;57;3;5;2;3;5;6;2;2;60;3;5;2;4;1;5;2;2;55;4;5;1;4;5;6;1;2;50;4;5;2;5;1;5;3;2;3;1;1;1;NA;NA;4;3;4;5;1;3;3;2;2;4;4;4;3;2;2;2;3;3;3;3;3;2;3;4;4;3;5;5;4;2;4;2;2;2;3;3;3;4;3;3;3;3;3;3;3;3;1;3;2;NA;NA;NA;1;2;3;3;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;3;2;3;3;1;3;1;1;1;1;1;2;12;15;"""";5;"""";10;1;1;5;5;1;1;4;4;3;2;2;5;3;"""";4;4;3;3;3;1;3;3;4;3;3;1;1;1;3;2;4;4;3;2;1;1;5;3;7;3;2;2;1e+08;4e+05;3e+06;1500000;5;3;3;3;3;3;2;4;4;4;5;5;5;1;1;1;5;1;1;1;1;5;5;3;3;4;2;2;2;2;1;1;2;1;1;3;1;1;3;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;4;5;2;3;2;4;3;3;3;4;1;1;1;3;1;1;5;5;1;1;1;1;1;5;5;5;1;1;50;50;1;1;54;8;2;8e+05;NA;1500000;2;8e+05;NA;6;""espiritual"";7;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5101;NA;2;NA;3;""liceo eduardo de la barrA"";5101;NA;2;10;"""";5101;5;0.254465699195862;0.32121866941452;2;983926;102"
